id z
21547	1.865
16424	-3.39
17984	-2.17
18653	2.961
22940	2.009
19952	2.470
19024	2.464
21472	-3.38
18668	2.085
21477	2.472
17713	-2.090
20720	-3.49
18769	1.766
19342	2.991
21541	2.476
16874	2.100
21213	2.007
16419	1.926
19572	1.868
17517	2.462
20852	2.914
19098	2.461
18327	2.095
18139	2.130
19788	2.273
19705	2.465
21026	5.863
17916	2.288
18094	2.554
18332	2.195
17954	3.520
19393	2.637
21218	2.477
21451	1.749
21178	1.925
18688	2.007
16615	-1.926
17669	2.467
18943	-3.158
21424	1.869
19307	3.418
18252	2.552
19945	6.990
19563	2.010
18651	2.467
18733	2.100
19891	2.468
16516	2.817
22758	-3.1850
18977	2.085
18071	2.820
17534	2.098
20693	-2.466
16474	2.550
21165	3.534
19712	2.487
17793	2.985
20195	-3.27
20388	-2.33
17000	3.208
22199	2.515
21452	1.867
20397	-2.45
20238	2.486
22606	3.040
20332	-3.37
20472	2.303
17842	3.232
17906	2.988
18839	2.462
18968	3.713
9871	2.045
7549	2.623
12332	-2.821
10021	1.810
7696	5.856
7102	3.265
11038	3.002
8469	1.867
8700	2.092
11136	1.862
12202	2.630
11451	1.762
10054	3.258
11051	-2.916
8878	2.936
11716	3.483
7934	3.092
8843	2.818
8465	1.807
9268	2.620
11494	2.090
10400	2.098
11853	2.549
7922	-2.922
11481	2.005
10415	1.655
13174	2.098
12133	-2.521
8850	2.922
8280	2.494
10245	1.807
11427	2.142
8741	3.083
9180	1.603
8013	1.688
12164	2.185
8338	3.268
11337	2.095
7185	1.850
12443	1.863
9986	3.182
12513	-2.563
8323	-2.048
11142	2.445
13103	2.282
11247	5.733
13297	3.487
10600	2.443
12014	2.413
11086	2.142
10339	2.363
11137	2.098
9809	-3.340
9395	2.127
12213	2.654
12148	2.460
8888	2.562
10565	2.443
12282	2.626
9519	2.810
8500	1.870
12340	1.925
7730	3.268
11723	-2.080
12717	1.764
10314	2.098
10592	1.800
12020	2.093
8002	2.687
12175	3.489
10128	1.851
9901	1.917
7735	2.440
7904	3.098
